cd_UGestora,dt_Ano,cd_UnidOrcamentaria,nu_Empenho,nu_Parcela,tp_Lancamento,vl_Pagamento,dt_Pagamento,cd_Conta,nu_ChequePag,nu_DebAut,cd_BancoRec,cd_AgenciaRec,nu_ContaRec,tp_FonteRecursos,dt_MesAno
201095,2015,10101,0100103,0000001,1,413737.4900,2015-06-16 00:00:00,000000096741,000000,1E157522015,001,016365,000000304419,15,062015
201095,2015,10101,0100103,0000002,1,10343.4400,2015-06-29 00:00:00,000000096741,000000,3E157522015,001,016365,000000304419,15,062015
201095,2015,10101,0100103,0000003,1,10343.4400,2015-07-08 00:00:00,000000096741,000000,3E157522015,001,016365,000000304419,15,072015
201095,2015,10101,0100104,0000001,2,375512.6300,2015-03-30 00:00:00,000000110027,000000,1E057182015,000,000000,000000000000,1,032015
201095,2015,10101,0100105,0000001,1,43060.5000,2015-09-30 00:00:00,000000110027,000000,1E221292015,001,016365,000000304419,1,092015
201095,2015,10101,0100105,0000002,1,655.7400,2015-09-30 00:00:00,000000110027,000000,5E221292015,001,016365,000000304419,1,092015
201045,2015,02010,0000935,0000001,1,16998.4700,2015-06-25 00:00:00,000000100021,000000,,,,,14,062015
201045,2015,02010,0002658,0000001,1,14568.6100,2015-10-20 00:00:00,000000100021,000000,,,,,14,102015
201045,2011,20500,0029661,0000001,1,32566.6600,2011-08-31 00:00:00,000000600342,539869,,,,,1,082011
201045,2014,02010,0002219,0000001,1,28952.2000,2014-08-18 00:00:00,000000100021,000000,,,,,14,082014
201046,2011,21000,0003760,0000001,1,10089.0000,2011-04-04 00:00:00,000000040193,852698,,,,,0,042011
201046,2011,21000,0006378,0000001,1,10089.0000,2011-05-06 00:00:00,000000050865,852600,,,,,0,052011
201046,2011,21000,0010634,0000001,1,10089.0000,2011-06-02 00:00:00,000000050865,852632,,,,,0,062011
201046,2011,21000,0014311,0000001,1,10089.0000,2011-07-06 00:00:00,000000082813,001520,,,,,0,072011
201046,2011,21000,0017281,0000001,1,10089.0000,2011-08-03 00:00:00,000000040193,852986,,,,,0,082011
201046,2011,21000,0018821,0000001,1,10089.0000,2011-09-01 00:00:00,000000040193,853077,,,,,0,092011
201045,2013,02006,0003222,0000001,1,19480.7200,2013-12-11 00:00:00,000000100021,121101,,,,,14,122013
201045,2013,02001,0002039,0000001,1,2000.0000,2013-07-10 00:00:00,000000600342,000000,,,,,0,072013
201045,2013,02002,0002312,0000001,1,2000.0000,2013-08-09 00:00:00,000000600342,000000,,,,,0,082013
201045,2013,02002,0002587,0000001,1,2000.0000,2013-09-10 00:00:00,000000600342,000000,,,,,0,092013
201045,2013,02002,0002780,0000001,1,2000.0000,2013-10-10 00:00:00,000000600342,000000,,,,,0,102013
201045,2013,02002,0002983,0000001,1,2000.0000,2013-11-11 00:00:00,000000600342,000000,,,,,0,112013
201200,2015,20300,2002499,0000001,1,1500.0000,2015-08-06 00:00:00,000000096687,000000,,,,,0,082015
201200,2015,20300,2002918,0000001,1,1500.0000,2015-09-08 00:00:00,000000193801,000000,,,,,0,092015
