n,tempo_req,tempo_resp,diff
0,1498251549.509842,1498251553.778624,4.268782138824463
1,1498251553.778628,1498251558.243301,4.464672803878784
2,1498251558.243306,1498251562.309814,4.066508054733276
3,1498251562.30982,1498251566.535768,4.225948095321655
4,1498251566.535773,1498251570.857332,4.321558952331543
5,1498251570.857337,1498251575.358345,4.501008033752441
6,1498251575.35835,1498251579.45967,4.101320028305054
7,1498251579.459676,1498251584.844894,5.385217905044556
8,1498251584.844899,1498251588.857165,4.012266159057617
9,1498251588.857171,1498251593.164715,4.307543992996216
10,1498251593.164719,1498251597.040559,3.875839948654175
11,1498251597.040564,1498251601.553914,4.513350009918213
12,1498251601.55392,1498251605.375055,3.8211350440979004
13,1498251605.37506,1498251609.769295,4.394234895706177
14,1498251609.7693,1498251613.521219,3.7519190311431885
15,1498251613.521223,1498251617.699714,4.178490877151489
16,1498251617.699719,1498251621.587461,3.887742042541504
17,1498251621.587467,1498251625.7842,4.196732997894287
18,1498251625.784206,1498251630.110562,4.3263561725616455
19,1498251630.110566,1498251634.422564,4.311998128890991
20,1498251634.42257,1498251638.416653,3.9940829277038574
21,1498251638.416658,1498251642.792702,4.376044034957886
22,1498251642.792708,1498251646.563439,3.770730972290039
23,1498251646.563444,1498251650.840131,4.276687145233154
24,1498251650.840137,1498251654.640351,3.8002140522003174
25,1498251654.640358,1498251658.822736,4.182378053665161
26,1498251658.822744,1498251662.653644,3.830900192260742
27,1498251662.653649,1498251667.056064,4.402414798736572
28,1498251667.056067,1498251670.783794,3.727726936340332
29,1498251670.783796,1498251675.004188,4.2203919887542725
30,1498251675.00419,1498251678.823461,3.8192710876464844
31,1498251678.823465,1498251683.524001,4.700535774230957
32,1498251683.524006,1498251688.117838,4.593832015991211
33,1498251688.117843,1498251692.505257,4.38741397857666
34,1498251692.505262,1498251697.852593,5.3473310470581055
35,1498251697.852599,1498251702.290402,4.437803030014038
36,1498251702.290408,1498251706.16552,3.8751120567321777
37,1498251706.165525,1498251710.655171,4.489645957946777
38,1498251710.655176,1498251714.626079,3.970903158187866
39,1498251714.626084,1498251718.886138,4.260053873062134
40,1498251718.886143,1498251722.834791,3.948647975921631
41,1498251722.834797,1498251727.276366,4.441569089889526
42,1498251727.276371,1498251731.16768,3.8913090229034424
43,1498251731.167685,1498251735.445853,4.278167963027954
44,1498251735.445858,1498251739.29881,3.852952003479004
45,1498251739.298816,1498251743.758764,4.4599480628967285
46,1498251743.758769,1498251747.740688,3.981919050216675
47,1498251747.740736,1498251752.123295,4.382559061050415
48,1498251752.1233,1498251755.856064,3.7327640056610107
49,1498251755.856069,1498251760.12217,4.266100883483887
50,1498251760.122174,1498251764.424429,4.302254915237427
51,1498251764.424434,1498251768.984453,4.560019016265869
52,1498251768.984459,1498251773.259674,4.275215148925781
53,1498251773.259679,1498251777.209149,3.949469804763794
54,1498251777.209154,1498251781.80412,4.594966173171997
55,1498251781.804126,1498251785.800872,3.996746063232422
56,1498251785.800877,1498251790.052033,4.251155853271484
57,1498251790.052038,1498251793.985484,3.933445930480957
58,1498251793.98549,1498251798.383131,4.397640943527222
59,1498251798.383139,1498251802.351165,3.9680261611938477
60,1498251802.35117,1498251806.845689,4.494518995285034
61,1498251806.845695,1498251810.895788,4.050092935562134
62,1498251810.895793,1498251815.324309,4.428516149520874
63,1498251815.324314,1498251819.27386,3.9495458602905273
64,1498251819.273865,1498251823.761021,4.487155914306641
65,1498251823.761026,1498251827.818983,4.057957172393799
66,1498251827.818988,1498251832.152149,4.333160877227783
67,1498251832.152155,1498251836.022175,3.8700201511383057
68,1498251836.022181,1498251840.814506,4.792325019836426
69,1498251840.81451,1498251844.824305,4.0097949504852295
70,1498251844.82431,1498251849.301778,4.477468013763428
71,1498251849.301783,1498251853.151611,3.849828004837036
72,1498251853.151617,1498251857.342608,4.190990924835205
73,1498251857.342615,1498251861.515784,4.173169136047363
74,1498251861.515789,1498251865.737925,4.2221360206604
75,1498251865.737931,1498251869.704225,3.966294050216675
76,1498251869.70423,1498251874.269565,4.565335035324097
77,1498251874.26957,1498251878.450025,4.180454969406128
78,1498251878.45003,1498251883.061731,4.611701011657715
79,1498251883.061737,1498251887.095414,4.033676862716675
80,1498251887.09542,1498251891.433766,4.338346004486084
81,1498251891.433771,1498251895.6305,4.1967291831970215
82,1498251895.630505,1498251900.06239,4.431885004043579
83,1498251900.062395,1498251904.510869,4.448473930358887
84,1498251904.510874,1498251908.957593,4.44671893119812
85,1498251908.95764,1498251913.191728,4.234088182449341
86,1498251913.191733,1498251917.498998,4.307265043258667
87,1498251917.499003,1498251921.759564,4.260560989379883
88,1498251921.759569,1498251925.928688,4.169119119644165
89,1498251925.928694,1498251930.53841,4.609715938568115
90,1498251930.538415,1498251934.855546,4.317131042480469
91,1498251934.855551,1498251939.289464,4.433912992477417
92,1498251939.289469,1498251943.394164,4.104695081710815
93,1498251943.394169,1498251947.664815,4.2706458568573
94,1498251947.66482,1498251951.805092,4.14027214050293
95,1498251951.805098,1498251955.993894,4.188796043395996
96,1498251955.993899,1498251959.965761,3.9718618392944336
97,1498251959.965766,1498251964.228598,4.262832164764404
98,1498251964.228604,1498251968.168481,3.9398770332336426
99,1498251968.168487,1498251971.491117,3.322629928588867

