n,tempo_req,tempo_resp,diff
0,1498249875.27994,1498249877.953328,2.6733880043029785
1,1498249877.953331,1498249882.251351,4.298020124435425
2,1498249882.251352,1498249886.324994,4.073642015457153
3,1498249886.324998,1498249890.580282,4.255284070968628
4,1498249890.580285,1498249894.904178,4.323892831802368
5,1498249894.904181,1498249899.212727,4.30854606628418
6,1498249899.212731,1498249903.247272,4.034541130065918
7,1498249903.247274,1498249907.739747,4.492473125457764
8,1498249907.73975,1498249911.889002,4.14925217628479
9,1498249911.889007,1498249916.486923,4.597915887832642
10,1498249916.486926,1498249920.66228,4.17535400390625
11,1498249920.662282,1498249925.084695,4.422413110733032
12,1498249925.084697,1498249929.20083,4.116132974624634
13,1498249929.200832,1498249933.345809,4.14497709274292
14,1498249933.345811,1498249937.432085,4.086274147033691
15,1498249937.432087,1498249941.731449,4.299361944198608
16,1498249941.731451,1498249945.844799,4.113348007202148
17,1498249945.844803,1498249949.993844,4.149040937423706
18,1498249949.993847,1498249954.569986,4.576139211654663
19,1498249954.569988,1498249958.709979,4.139991044998169
20,1498249958.709981,1498249962.740898,4.030916929244995
21,1498249962.7409,1498249966.860981,4.120080947875977
22,1498249966.860985,1498249970.881055,4.0200700759887695
23,1498249970.881058,1498249975.203669,4.322611093521118
24,1498249975.203673,1498249979.251164,4.047491073608398
25,1498249979.251167,1498249983.830409,4.579241991043091
26,1498249983.830414,1498249987.914159,4.083745002746582
27,1498249987.914161,1498249992.298168,4.384006977081299
28,1498249992.298171,1498249996.529981,4.231809854507446
29,1498249996.529983,1498250001.451501,4.921517848968506
30,1498250001.451504,1498250006.258127,4.8066229820251465
31,1498250006.25813,1498250010.58757,4.329439878463745
32,1498250010.587571,1498250014.914887,4.327316045761108
33,1498250014.914888,1498250019.408088,4.493200063705444
34,1498250019.40809,1498250023.445187,4.037096977233887
35,1498250023.44519,1498250027.921248,4.476058006286621
36,1498250027.92125,1498250032.458316,4.5370659828186035
37,1498250032.458317,1498250036.485966,4.02764892578125
38,1498250036.485968,1498250040.806062,4.320093870162964
39,1498250040.806064,1498250045.418604,4.612540006637573
40,1498250045.418614,1498250049.783541,4.364927053451538
41,1498250049.783543,1498250054.119808,4.3362648487091064
42,1498250054.11981,1498250058.567675,4.447865009307861
43,1498250058.567678,1498250062.718675,4.150996923446655
44,1498250062.718679,1498250067.071809,4.353130102157593
45,1498250067.071811,1498250071.289035,4.21722412109375
46,1498250071.289038,1498250075.670174,4.381135940551758
47,1498250075.670177,1498250079.699328,4.02915096282959
48,1498250079.699339,1498250083.99328,4.293941020965576
49,1498250083.993283,1498250088.431901,4.438617944717407
50,1498250088.431904,1498250093.00935,4.577445983886719
51,1498250093.009353,1498250097.298687,4.289334058761597
52,1498250097.298689,1498250101.467178,4.168489217758179
53,1498250101.467181,1498250105.903139,4.43595814704895
54,1498250105.903142,1498250109.955438,4.052295923233032
55,1498250109.955442,1498250113.77475,3.819308042526245
56,1498250113.774754,1498250117.959616,4.184861898422241
57,1498250117.959619,1498250122.010852,4.0512330532073975
58,1498250122.010854,1498250126.228331,4.217477083206177
59,1498250126.228333,1498250130.141439,3.9131059646606445
60,1498250130.141443,1498250134.304405,4.162961959838867
61,1498250134.304406,1498250138.238424,3.934018135070801
62,1498250138.238426,1498250142.731693,4.493267059326172
63,1498250142.731695,1498250146.970584,4.23888897895813
64,1498250146.970588,1498250151.428443,4.457854986190796
65,1498250151.428446,1498250155.914876,4.486429929733276
66,1498250155.914877,1498250160.199415,4.28453803062439
67,1498250160.199416,1498250164.227589,4.028172969818115
68,1498250164.227591,1498250168.70566,4.478069067001343
69,1498250168.705662,1498250172.729569,4.023906946182251
70,1498250172.729571,1498250177.017696,4.2881247997283936
71,1498250177.017698,1498250181.491739,4.474040985107422
72,1498250181.491741,1498250185.637908,4.146167039871216
73,1498250185.637911,1498250189.872899,4.23498797416687
74,1498250189.8729,1498250193.772525,3.899625062942505
75,1498250193.772527,1498250198.025493,4.252965927124023
76,1498250198.025512,1498250202.314476,4.288964033126831
77,1498250202.314478,1498250206.407051,4.092573165893555
78,1498250206.407052,1498250210.372883,3.9658310413360596
79,1498250210.372885,1498250214.655251,4.282366037368774
80,1498250214.655252,1498250219.051522,4.396270036697388
81,1498250219.051525,1498250223.540743,4.48921799659729
82,1498250223.540746,1498250227.486457,3.945711135864258
83,1498250227.486461,1498250232.013399,4.526937961578369
84,1498250232.013401,1498250235.960426,3.9470250606536865
85,1498250235.960429,1498250240.256607,4.296178102493286
86,1498250240.256608,1498250244.175938,3.919329881668091
87,1498250244.175939,1498250249.004602,4.828662872314453
88,1498250249.004604,1498250253.367013,4.362408876419067
89,1498250253.367016,1498250257.544753,4.17773699760437
90,1498250257.544755,1498250261.449611,3.904855966567993
91,1498250261.449613,1498250265.757581,4.307967901229858
92,1498250265.757584,1498250269.755862,3.9982779026031494
93,1498250269.755864,1498250274.040332,4.284468173980713
94,1498250274.040334,1498250277.952902,3.9125680923461914
95,1498250277.952904,1498250282.163194,4.21028995513916
96,1498250282.163196,1498250286.460589,4.297392845153809
97,1498250286.460591,1498250290.640751,4.1801598072052
98,1498250290.640753,1498250294.636014,3.9952609539031982
99,1498250294.636015,1498250299.096101,4.460086107254028

