n,tempo_req,tempo_resp,diff
0,1498249875.242966,1498249876.189859,0.9468929767608643
1,1498249876.189861,1498249880.516639,4.326777935028076
2,1498249880.516641,1498249884.695692,4.179051160812378
3,1498249884.695696,1498249888.817369,4.121672868728638
4,1498249888.817376,1498249893.201793,4.3844170570373535
5,1498249893.201802,1498249897.481737,4.279934883117676
6,1498249897.481744,1498249901.605107,4.123363018035889
7,1498249901.605114,1498249905.91401,4.308896064758301
8,1498249905.914012,1498249910.211778,4.2977659702301025
9,1498249910.211781,1498249914.583619,4.371838092803955
10,1498249914.583622,1498249918.899533,4.315911054611206
11,1498249918.899535,1498249923.26208,4.362545013427734
12,1498249923.262086,1498249927.573378,4.3112921714782715
13,1498249927.573379,1498249931.692637,4.119257926940918
14,1498249931.692639,1498249935.766067,4.07342791557312
15,1498249935.76607,1498249939.947391,4.181321144104004
16,1498249939.947393,1498249944.184894,4.23750114440918
17,1498249944.184896,1498249948.322553,4.137656927108765
18,1498249948.322555,1498249952.807712,4.485157012939453
19,1498249952.807714,1498249957.044573,4.236859083175659
20,1498249957.044575,1498249961.132219,4.087644100189209
21,1498249961.132221,1498249965.181832,4.0496110916137695
22,1498249965.181836,1498249969.26174,4.079904079437256
23,1498249969.261742,1498249973.408607,4.146864891052246
24,1498249973.408609,1498249977.613381,4.204771995544434
25,1498249977.613394,1498249982.020806,4.407412052154541
26,1498249982.020809,1498249986.278177,4.257368087768555
27,1498249986.27818,1498249990.489543,4.211363077163696
28,1498249990.489547,1498249994.595134,4.105587005615234
29,1498249994.595136,1498249999.290023,4.694887161254883
30,1498249999.290025,1498250004.487339,5.197314023971558
31,1498250004.487346,1498250008.709676,4.222330093383789
32,1498250008.709678,1498250013.243342,4.533663988113403
33,1498250013.243345,1498250017.710519,4.467174053192139
34,1498250017.710523,1498250022.033426,4.322903156280518
35,1498250022.033434,1498250025.933709,3.9002749919891357
36,1498250025.933711,1498250030.56766,4.633949041366577
37,1498250030.567663,1498250034.783481,4.215817928314209
38,1498250034.783483,1498250039.126597,4.343113899230957
39,1498250039.126601,1498250043.379133,4.252532005310059
40,1498250043.379134,1498250048.037221,4.6580870151519775
41,1498250048.037222,1498250052.383812,4.346590042114258
42,1498250052.38382,1498250056.767543,4.383723020553589
43,1498250056.767545,1498250060.908467,4.1409220695495605
44,1498250060.90847,1498250065.341805,4.433335065841675
45,1498250065.341821,1498250069.530013,4.188192129135132
46,1498250069.530016,1498250073.841897,4.311881065368652
47,1498250073.841899,1498250078.070266,4.22836709022522
48,1498250078.070268,1498250082.271382,4.201114177703857
49,1498250082.271386,1498250086.587421,4.316035032272339
50,1498250086.587423,1498250091.231213,4.643790006637573
51,1498250091.231215,1498250095.525374,4.294158935546875
52,1498250095.525375,1498250099.812777,4.287402153015137
53,1498250099.81278,1498250104.163451,4.350671052932739
54,1498250104.163454,1498250108.305046,4.141592025756836
55,1498250108.305051,1498250112.231154,3.926102876663208
56,1498250112.231156,1498250116.272388,4.041231870651245
57,1498250116.27239,1498250120.253391,3.981001138687134
58,1498250120.253393,1498250124.436415,4.1830220222473145
59,1498250124.43642,1498250128.456338,4.019917964935303
60,1498250128.456341,1498250132.618115,4.161773920059204
61,1498250132.618117,1498250136.64874,4.030622959136963
62,1498250136.648742,1498250140.977069,4.328326940536499
63,1498250140.977073,1498250145.27239,4.295316934585571
64,1498250145.272392,1498250149.596406,4.324013948440552
65,1498250149.596409,1498250154.182177,4.585767984390259
66,1498250154.182181,1498250158.482878,4.300697088241577
67,1498250158.482881,1498250162.486838,4.003957033157349
68,1498250162.486841,1498250167.012873,4.526031970977783
69,1498250167.012877,1498250171.405729,4.392852067947388
70,1498250171.405731,1498250175.087629,3.6818981170654297
71,1498250175.08763,1498250179.680896,4.593266010284424
72,1498250179.6809,1498250183.92079,4.239889860153198
73,1498250183.920792,1498250188.07164,4.150847911834717
74,1498250188.071641,1498250192.170092,4.098451137542725
75,1498250192.170094,1498250196.357191,4.187097072601318
76,1498250196.357192,1498250200.649438,4.292245864868164
77,1498250200.649442,1498250204.712265,4.062823057174683
78,1498250204.712267,1498250208.75853,4.046262979507446
79,1498250208.758532,1498250212.873208,4.114675998687744
80,1498250212.87321,1498250217.095965,4.222754955291748
81,1498250217.095967,1498250221.666268,4.570301055908203
82,1498250221.666272,1498250225.871039,4.2047669887542725
83,1498250225.871041,1498250229.98385,4.1128089427948
84,1498250229.983855,1498250234.331109,4.347254037857056
85,1498250234.331113,1498250238.588411,4.257297992706299
86,1498250238.588413,1498250242.572404,3.9839909076690674
87,1498250242.572406,1498250247.276844,4.704437971115112
88,1498250247.276846,1498250251.449776,4.172930002212524
89,1498250251.449783,1498250255.834116,4.384332895278931
90,1498250255.834118,1498250259.855092,4.020974159240723
91,1498250259.855094,1498250263.989855,4.134761095046997
92,1498250263.989857,1498250268.137709,4.147851943969727
93,1498250268.137713,1498250272.300166,4.162452936172485
94,1498250272.300173,1498250276.358741,4.058568000793457
95,1498250276.358744,1498250280.417853,4.059109210968018
96,1498250280.417854,1498250284.667546,4.249691963195801
97,1498250284.667548,1498250288.926118,4.258569955825806
98,1498250288.92612,1498250292.973877,4.047756910324097
99,1498250292.973879,1498250297.397846,4.423966884613037

